City,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities,Terrorist Recuit- ment,Terrorist Funding,Inciting Hate against Country,Disrupt Public Service,Sale purchase illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total,Crime Rate
Agra,0,12,45,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,19,100,5.7
Allahabad,0,0,321,17,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,354,29
Amritsar,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0.9
Asansol,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,1.7
Aurangabad,5,5,50,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,77,6.5
Bhopal,0,0,4,1,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22,1.2
Chandigarh City,4,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,23,2.2
Dhanbad,5,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,8.5
Durg-Bhilainagar,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.6
Faridabad,0,0,12,1,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,20,47,3.3
Gwalior,0,0,20,1,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4.3
Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamshedpur,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,5.6
Jodhpur,0,2,117,7,3,0,5,0,0,0,0,0,0,0,6,0,0,0,0,39,179,15.7
Kannur,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2
Kollam,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
Kota,0,0,7,0,15,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,32,3.2
Ludhiana,0,0,21,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,37,2.3
Madurai,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3
Malappuram,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2
Meerut,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,6.9
Nasik,0,0,55,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,79,5.1
Raipur,1,0,1,0,5,0,9,0,0,0,0,0,1,0,0,0,0,0,0,6,23,2.1
Rajkot,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0.9
Ranchi,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,16.2
Srinagar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.3
Thiruvananthapuram,15,11,13,3,6,2,16,9,0,0,0,0,0,0,0,0,0,0,0,0,75,4.4
Thrissur,3,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.6
Tiruchirapalli,1,4,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,14,1.4
Vadodara,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0.7
Varanasi,28,29,124,5,27,39,36,2,0,0,0,4,9,0,0,18,0,0,0,127,448,31.1
Vasai Virar,1,0,16,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,9,29,2.4
Vijayawada,8,4,205,7,0,1,9,1,0,0,0,0,0,0,2,1,0,2,0,0,240,16.1
Vishakhapatnam,6,8,359,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,400,23.1
